Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","100","India","5510","Production","156","Sugar cane","1961","1961","tonnes","110001008","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1962","1962","tonnes","103967008","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1963","1963","tonnes","91913008","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1964","1964","tonnes","104225008","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1965","1965","tonnes","122077008","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1966","1966","tonnes","123990000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1967","1967","tonnes","92827008","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1968","1968","tonnes","95500000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1969","1969","tonnes","124676096","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1970","1970","tonnes","135024000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1971","1971","tonnes","126368000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1972","1972","tonnes","113569504","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1973","1973","tonnes","124866704","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1974","1974","tonnes","140805008","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1975","1975","tonnes","144288896","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1976","1976","tonnes","140603504","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1977","1977","tonnes","153007008","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1978","1978","tonnes","176965008","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1979","1979","tonnes","151655104","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1980","1980","tonnes","128833408","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1981","1981","tonnes","154248000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1982","1982","tonnes","186357600","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1983","1983","tonnes","189505600","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1984","1984","tonnes","174076000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1985","1985","tonnes","170319200","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1986","1986","tonnes","171680992","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1987","1987","tonnes","186089504","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1988","1988","tonnes","196736896","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1989","1989","tonnes","203036800","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1990","1990","tonnes","225569200","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1991","1991","tonnes","241045504","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1992","1992","tonnes","254000000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1993","1993","tonnes","228030000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1994","1994","tonnes","229670000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1995","1995","tonnes","275540000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1996","1996","tonnes","281100000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1997","1997","tonnes","277560000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1998","1998","tonnes","279541504","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","1999","1999","tonnes","310332800","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2000","2000","tonnes","299323904","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2001","2001","tonnes","295956000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2002","2002","tonnes","297207808","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2003","2003","tonnes","287383200","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2004","2004","tonnes","233861792","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2005","2005","tonnes","237088400","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2006","2006","tonnes","281171808","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2007","2007","tonnes","355519712","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2008","2008","tonnes","348187904","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2009","2009","tonnes","285029312","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2010","2010","tonnes","292301600","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2011","2011","tonnes","342382016","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2012","2012","tonnes","361036992","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2013","2013","tonnes","341200000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2014","2014","tonnes","352142000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2015","2015","tonnes","362333000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2016","2016","tonnes","348448000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2017","2017","tonnes","306069000","","Official data"
"QC","Crops","100","India","5510","Production","156","Sugar cane","2018","2018","tonnes","376900000","","Official data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1961","1961","tonnes","160501987","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1962","1962","tonnes","149172711","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1963","1963","tonnes","164975629","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1964","1964","tonnes","216206931","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1965","1965","tonnes","197376224","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1966","1966","tonnes","212270253","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1967","1967","tonnes","233455177","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1968","1968","tonnes","248856658","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1969","1969","tonnes","216920772","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1970","1970","tonnes","224251952","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1971","1971","tonnes","227540795","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1972","1972","tonnes","240336963","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1973","1973","tonnes","250104320","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1974","1974","tonnes","234922029","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1975","1975","tonnes","251310276","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1976","1976","tonnes","296408369","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1977","1977","tonnes","288582476","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1978","1978","tonnes","282834069","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1979","1979","tonnes","262752809","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1980","1980","tonnes","267856451","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1981","1981","tonnes","287840286","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1982","1982","tonnes","291773194","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1983","1983","tonnes","274395485","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1984","1984","tonnes","296351939","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1985","1985","tonnes","284155160","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1986","1986","tonnes","286334048","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1987","1987","tonnes","299751636","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1988","1988","tonnes","293570876","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","5000","World","5510","Production","157","Sugar beet","1989","1989","tonnes","314402899","A","Aggregate, may include official, semi-official, estimated or calculated data"
