Garden,District
ACHABAM,Dibrugarh
AENAKHALL,Hailakandi
AMBIKAPUR,Dibrugarh
AMGOORIE,Sivasagar
ANANDA,Lakhimpur
ANANDABAG,Tinsukia
ATTABARRIE,Sivasagar
ATTABARRIE.,Sivasagar
ATTAREEKHAT,Udalguri
ATTAREEKHAT.,Udalguri
BAGHJAN-,Tinsukia
BAGHJAN*,Tinsukia
BAGHMARI,Sonitpur
BAGHMARI CLONAL,Sonitpur
BALIJAN HI,Golaghat
BAMONPOOKRIE,Sivasagar
BARGANG,Sonitpur
BARGANG.,Sonitpur
BARUAKHAT,Sivasagar
BARUAPARA GOLD,Jalpaiguri
BASMATIA,Dibrugarh
BAZALONI,Tinsukia
BEESAKOPIE-,Tinsukia
BEESAKOPIE*,Tinsukia
BHATPARA,Alipurduar
BILATIBARI,Darjeeling
BINNABARI,Darjeeling
BIRJHORA,Bongaigaon
BLK,Jalpaiguri
BOISAHABI,Jorhat
BOKAKHAT,Golaghat
BOKEL,Dibrugarh
BORDUBI,Tinsukia
BORDUBI-,Tinsukia
BORDUBI*,Tinsukia
BORENGAJULI,Udalguri
BORENGAJULI.,Udalguri
BORJAN,Golaghat
BORMAHJAN,Tinsukia
BORNADI,Tinsukia
BOROI,Sonitpur
BOROI.,Sonitpur
BORPATRA,Sivasagar
BORSAPORI,Golaghat
BRAHMAJAN,Tinsukia
BUDLABETA,Tinsukia
BUDLAPARA,Udalguri
CENTRAL DOOARS,Jalpaiguri
CHIKONMATI,Darrang
CHITPERI,Dibrugarh
CHOTA TINGRAI,Tinsukia
CHUAPARA,Alipurduar
CHULSA,Jalpaiguri
CORRAMORE,Udalguri
CORRAMORE.,Udalguri
DAISAJAN,Tinsukia
DANGUAJHAR,Jalpaiguri
DECKIAJULI,Sonitpur
DEERING,Golaghat
DEHING,Tinsukia
DEHING.,Tinsukia
DEJOO,Lakhimpur
DEKORAI,Sonitpur
DEKORAI.,Sonitpur
DEOHALL,Tinsukia
DESSOIE,Jorhat
DEVSHREE,Jalpaiguri
DHELAKHAT,Tinsukia
DHOEDAAM,Tinsukia
DHOLLA,Tinsukia
DHULAPADUNG,Sonitpur
DIFFLOO,Golaghat
DIGULTURRUNG,Tinsukia
DIGULTURRUNG SPECIAL,Tinsukia
DIKOM,Dibrugarh
DILLI CLONAL,Dibrugarh
DIMAKUSI,Udalguri
DIMAKUSI.,Udalguri
DINJOYE,Dibrugarh
DIRAI,Dibrugarh
DIRAI.,Dibrugarh
DIRIAL,Dibrugarh
DIRIAL.,Dibrugarh
DOHAGURI ROYAL,Darjeeling
DOOMNI,Baksa
DOYANG,Golaghat
DOYAPORE,Cachar
DUFLATING,Jorhat
DUKLINGIA,Jorhat
DULIABAM,Dibrugarh
DURO TEA,Dibrugarh
DURRUNG,Sonitpur
EKANTIKA,Hailakandi
ETHELWOLD,Dibrugarh
GATOONGA,Jorhat
GATOONGA(CL),Jorhat
GAYATREE GOLD,Jalpaiguri
GHILLIDARY,Golaghat
GHOIRALLIE,Sonitpur
